sku,title,brand,category,product_url,price,image,in_stock,e_retailer,client,market,type,position,listing_url,page
B3-518895,LILLYDOO Pants Gr.7 17+kg,LILLYDOO,babykind-windelnwickeln-windeln,https://www.bipa.at/lillydoo-pants-gr.7-17pluskg/B3-518895.html,8.99,,True,bipa.at,client_name,AT,Search,37,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514988,"Hello Mom Monatsbox Windeln Größe 3, 4-9 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-monatsbox-windeln-groesse-3--4-9-kg/B3-514988.html,22.49,,True,bipa.at,client_name,AT,Search,38,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514981,"Hello Mom Monatsbox Windeln Größe 1, 2-4 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-monatsbox-windeln-groesse-1--2-4-kg/B3-514981.html,22.49,,True,bipa.at,client_name,AT,Search,39,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377693,"Pampers Baby-Dry Pants Größe 4, 9-15kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-4-9-15kg-doppelpack/B3-377693.html,12.74,,True,bipa.at,client_name,AT,Search,40,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-383211,"Pampers Baby-Dry Pants Größe 7, 17+ kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-7-17pluskg-doppelpack/B3-383211.html,12.74,,True,bipa.at,client_name,AT,Search,41,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377707,"Pampers Baby-Dry Pants Größe 6, 15+ kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-6-15pluskg-doppelpack/B3-377707.html,12.74,,True,bipa.at,client_name,AT,Search,42,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377674,"Pampers Baby-Dry Pants Größe 5,  12-17kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-pants-gr.-5-12-17kg-einzelpack/B3-377674.html,7.49,,True,bipa.at,client_name,AT,Search,43,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514980,"Hello Mom Windeln Größe 5, 12-25 kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-windeln-groesse-5--12-25-kg/B3-514980.html,5.24,,True,bipa.at,client_name,AT,Search,44,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-514978,"Hello Mom Windeln Größe 3, 4-9kg",Hello Mom,babykind-windelnwickeln-windeln,https://www.bipa.at/hello-mom-windeln-groesse-3--4-9kg/B3-514978.html,5.24,,True,bipa.at,client_name,AT,Search,45,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
B3-377314,"Pampers Baby-Dry Größe 3, 6-10kg",Pampers,babykind-windelnwickeln-windeln,https://www.bipa.at/pampers-gr.-3-6-10kg-doppelpack/B3-377314.html,12.74,,True,bipa.at,client_name,AT,Search,46,https://www.bipa.at/windeln/windeln-und-wickeln/baby-und-kind?searchRedirect=1,1
