sku,title,brand,product_url,description,old_price,price,main_image,in_stock,category,rating,reviews,e_retailer,client,market,type,position,listing_url
p-138921,ORAL-B iO Series 7n White,ORAL B iO,https://www.mediaworld.it/product/p-138921/oral-b-io-series-7n-white,          5 Velocità - 5 Modalità di spazzolamento Tecnologia della pulizia denti: Micropulsazioni Batteria: Litio - Display Interattivo Tecnologia iO - Sensore di pressione dello spazzolamento smart - Custodia da viaggio,,149.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/13/89/138921_thumb.jpg,True,Spazzolino elettrico,5.0000,(10),mediaworld.it,P&G,IT,Search,22,https://www.mediaworld.it/search/spazzolino%20elettrico
p-122859,PHILIPS HX6807/04,PHILIPS,https://www.mediaworld.it/product/p-122859/philips-hx6807-04,          Tecnologia di pulizia: Sonica - 2 Velocità Rimuove fino a 7 volte più placca Feedback sulla pressione esercitata Sensore di pressione,,56.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/12/28/122859_thumb.jpg,True,Spazzolino elettrico,5.0000,(1),mediaworld.it,P&G,IT,Search,23,https://www.mediaworld.it/search/spazzolino%20elettrico
p-156149,ORAL-B Pro2 2500 Black Edition spazzolino elettrico 80314470,ORAL-B,https://www.mediaworld.it/product/p-156149/oral-b-pro2-2500-black-edition-spazzolino-elettrico-80314470,          Alimentazione: Ricaricabile Numero testine: 1 Oscillazioni al minuto: 9900 Pulsazioni al minuto: 45000 Tecnologia pulizia denti: Rotatoria oscillante e pulsante Timer,,41.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/61/156149_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,24,https://www.mediaworld.it/search/spazzolino%20elettrico
p-712644,PHILIPS Sonicare HX6322/04,PHILIPS,https://www.mediaworld.it/product/p-712644/philips-sonicare-hx6322-04,          Spazzolino elettrico - Alimentazione: Ricaricabile Numero testine 1 - Velocità 2 - Adatto ai bambini KidTimer e KidPacer - Multi-impugnatura - 2 testine 8 adesivi per la personalizzazione - Timer ,,43.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/71/26/712644_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,1,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-101944,ORAL-B Vitality 100 Frozen,ORAL B,https://www.mediaworld.it/product/p-101944/oral-b-vitality-100-frozen,"          Spazzolino elettrico Ricaricabile - 2 Testine Oscillazioni al minuto: 7600&nbsp,- Timer Tecnologia pulizia denti&nbsp,Rotatoria e oscillante",,24.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101944_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,2,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-138926,ORAL-B iO Series 9n Black Onyx,ORAL B iO,https://www.mediaworld.it/product/p-138926/oral-b-io-series-9n-black-onyx,          Alimentazione: Ricaricabile Numero testine: 1 - Velocità: 7 Tecnologia magnetica iO Display interattivo a colori Sensore di pressione Visibile SMART (verde/rosso) Tempo di ricarica: 3 ore Contenitore da viaggio,,232.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/13/89/138926_thumb.jpg,True,Spazzolino Elettrico,4.5000,(10),mediaworld.it,P&G,IT,Search,3,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-101942,ORAL-B Vitality 100 StarWars,ORAL B,https://www.mediaworld.it/product/p-101942/oral-b-vitality-100-starwars,"          Spazzolino elettrico per bambini Tecnologia Rotatoria oscillante 2 velocit&agrave, - Timer 7600 oscillazioni al minuto 2 modalit&agrave, di spazzolamento",,24.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/10/19/101942_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,4,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-138924,ORAL-B iO Series 8 Violet Ametrine,ORAL B iO,https://www.mediaworld.it/product/p-138924/oral-b-io-series-8-violet-ametrine,          6 Velocità - 6 Modalità di spazzolamento Tecnologia della pulizia denti: Micropulsazioni Batteria: Litio - Display Interattivo Tecnologia iO - Sensore di pressione dello spazzolamento smart - Custodia da viaggio,,169.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/13/89/138924_thumb.jpg,True,Spazzolino elettrico,5.0000,(11),mediaworld.it,P&G,IT,Search,5,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-164019,ORAL-B iO Series 6 Black,ORAL B iO,https://www.mediaworld.it/product/p-164019/oral-b-io-series-6-black,          Alimentazione: Ricaricabile - 1 Testina 5 Velocità - 5 Modalità Smart - Timer Display interattivo - Sensore di pressione,,120.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/16/40/164019_thumb.jpg,True,spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,6,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
p-153217,XIAOMI Electric Toothbrush T500,XIAOMI,https://www.mediaworld.it/product/p-153217/xiaomi-electric-toothbrush-t500,          Alimentazione: Ricaricabile - Numero testine: 1 Velocità: 3 - Pulsazioni al minuto: 31000 Tecnologia pulizia denti: Sonica - Timer: S&igrave,,33.99,https://asset.mediaw.it/wcsstore/MMCatalogAssetStore/asset/images/15/32/153217_thumb.jpg,True,Spazzolino elettrico,,,mediaworld.it,P&G,IT,Search,7,https://www.mediaworld.it/search/spazzolino%20elettrico?page=2
